price,sqm,rooms,age,balcony,lift,parking
695000,150,8.0,56,true,false,true
299000,65,3.5,56,true,false,true
399000,85,4.5,56,true,false,true
435000,90,4.5,28,true,false,false
735000,104,3.5,2,true,true,true
152600,32,1.0,0,true,true,true
415000,53,2.5,1,true,true,true
1625000,150,4.5,1,false,true,false
1625000,150,4.5,1,false,true,false
145300,32,1.0,0,true,true,true
690000,122,4.5,1,true,true,true
690000,122,4.5,1,true,true,true
1250000,140,4.5,5,true,true,false
1265000,110,3.5,1,true,true,false
630000,124,4.5,36,true,false,true
575000,110,4.5,25,true,false,false
850000,150,6.5,12,false,false,false
300000,70,1.0,392,false,false,false
850000,96,4.5,46,false,false,false
550000,118,4.5,27,false,false,false
790000,128,4.5,8,true,true,true
690000,155,5.0,11,true,false,true
238000,63,3.0,37,true,true,false
114000,33,1.0,37,true,true,false
254000,62,3.0,37,true,true,false
206000,48,2.0,37,true,true,false
303000,70,2.0,37,true,true,false
650000,136,4.5,1,true,true,true
450000,75,2.5,28,true,false,true
575000,110,4.5,25,true,false,false
295000,56,2.5,48,true,true,false
440000,123,4.5,15,false,false,false
790000,115,3.5,47,true,true,false
805000,96,3.5,15,true,false,true
750000,197,6.5,21,true,false,true
785000,132,4.5,9,true,true,false
850000,106,3.5,14,true,true,true
695000,104,3.5,2,true,true,false
640000,115,4.5,7,true,true,true
730000,106,4.5,-1,true,true,true
745000,115,3.5,1,false,false,false
360000,70,3.0,57,true,false,true
1290000,184,6.5,9,true,true,false
640000,123,4.5,7,true,true,true
700000,83,4.0,114,true,false,false
2070000,168,5.0,1,false,true,true
286400,63,2.5,0,true,true,true
695000,105,4.5,-1,true,true,true
194200,38,1.0,2,true,true,true
341400,66,2.5,2,true,true,true
302600,69,2.5,0,true,true,true
145300,33,1.0,0,true,true,true
445800,92,3.5,0,true,true,true
149000,32,1.0,0,true,true,true
297600,65,2.5,0,true,true,true
440900,86,3.5,0,true,true,true
175000,30,1.0,2,true,true,true
210000,38,1.5,2,true,true,true
550000,118,4.5,42,true,true,true
795000,81,2.5,0,true,true,true
1455000,131,4.5,0,true,true,true
985000,94,3.5,0,true,true,true
1455000,131,4.5,0,true,true,true
795000,81,2.5,0,true,true,true
985000,94,3.5,0,true,true,true
465000,74,3.5,23,true,true,false
620000,98,3.5,0,true,true,true
525000,82,3.5,6,true,true,true
920000,135,4.5,0,true,true,true
850000,132,4.5,0,true,true,true
820000,130,5.5,6,true,true,true
600000,111,4.5,12,true,true,true
1350000,105,5.5,81,true,false,false
1580000,170,5.0,31,false,true,false
1715000,180,5.0,17,true,true,false
685000,110,4.5,30,true,false,true
590000,100,3.5,1,true,true,false
830000,90,3.5,4,true,true,false
640000,70,2.5,0,true,true,false
1615000,200,4.5,0,true,true,false
159000,75,2.5,168,false,false,false
735000,112,4.5,2,true,true,true
2650000,149,5.5,-1,true,true,false
2250000,135,4.5,-1,true,true,false
309000,72,3.5,36,true,false,true
1880000,175,5.5,14,false,true,true
1880000,175,5.5,14,false,true,true
275000,53,3.0,45,true,false,false
990000,102,3.5,5,true,true,false
490000,85,3.5,21,true,false,false
465000,107,5.5,44,false,true,false
240000,65,2.5,42,true,true,false
2100000,193,5.5,-1,true,true,false
1880000,185,5.5,2,true,true,true
206000,48,2.0,37,true,true,false
1190000,180,5.5,7,false,true,false
475000,50,2.5,32,true,false,true
445000,75,3.0,35,true,false,false
920000,150,5.5,8,true,false,false
630000,75,3.5,48,true,false,false
460000,70,3.0,51,true,true,true
500000,70,3.0,51,true,true,true
1595000,262,6.5,1,true,true,true
400000,60,2.5,15,true,true,false
400000,60,2.5,15,true,true,false
298000,82,3.5,37,false,false,false
1370000,131,4.0,9,true,true,true
900000,163,6.0,46,true,true,false
255000,75,3.5,50,false,false,false
599000,117,3.5,27,false,true,false
465000,107,5.5,44,false,true,false
500000,102,4.5,43,false,true,true
1720000,139,4.5,3,false,true,false
500000,102,4.5,43,false,true,true
545000,117,4.5,26,true,true,false
1195000,95,3.5,27,false,true,true
